Coordinate 1,Coordinate 2,Ellipsoid Dimensions,Tags,Description,Segment IDs,Parent ID,Type,ID
"(9244, 8724, 344)",,,,,,,Point,
"(9751, 7990, 345)",,,,,,,Point,
"(10358, 7975, 346)",,,,,,,Point,
"(9836, 7896, 347)",,,,,,,Point,
"(11586, 8741, 348)",,,,,,,Point,
"(11498, 8965, 349)",,,,,,,Point,
"(10523, 9649, 350)",,,,,,,Point,
"(10042, 9540, 351)",,,,,,,Point,
"(10290, 9958, 352)",,,,,,,Point,
"(10685, 9060, 353)",,,,,,,Point,
"(9966, 9454, 354)",,,,,,,Point,
"(10420, 9452, 355)",,,,,,,Point,
"(10529, 6914, 356)",,,,,,,Point,
"(10634, 9805, 357)",,,,,,,Point,
"(11095, 9655, 358)",,,,,,,Point,
"(10592, 9390, 359)",,,,,,,Point,
"(11137, 9079, 360)",,,,,,,Point,
"(10630, 9094, 361)",,,,,,,Point,
"(10968, 8456, 362)",,,,,,,Point,
"(10258, 9167, 363)",,,,,,,Point,
"(13096, 7465, 364)",,,,,,,Point,
"(10780, 9689, 365)",,,,,,,Point,
"(8998, 7727, 366)",,,,,,,Point,
"(8879, 7462, 367)",,,,,,,Point,
"(8802, 7719, 368)",,,,,,,Point,
"(9267, 7147, 369)",,,,,,,Point,
"(9747, 7077, 370)",,,,,,,Point,
"(9228, 7266, 371)",,,,,,,Point,
"(8533, 7135, 372)",,,,,,,Point,
"(8952, 7220, 373)",,,,,,,Point,
"(9244, 6847, 374)",,,,,,,Point,
"(8664, 8418, 375)",,,,,,,Point,
"(9371, 7730, 376)",,,,,,,Point,
"(9397, 7485, 377)",,,,,,,Point,
"(9520, 7339, 378)",,,,,,,Point,
"(9271, 7212, 379)",,,,,,,Point,
"(9271, 6947, 380)",,,,,,,Point,
"(9447, 7957, 381)",,,,,,,Point,
"(9528, 7415, 382)",,,,,,,Point,
"(8011, 7396, 383)",,,,,,,Point,
"(8921, 6801, 384)",,,,,,,Point,
"(8929, 8579, 385)",,,,,,,Point,
"(9463, 7965, 386)",,,,,,,Point,
"(9966, 7304, 387)",,,,,,,Point,
"(9543, 7173, 388)",,,,,,,Point,
"(9574, 7830, 389)",,,,,,,Point,
"(9490, 7404, 390)",,,,,,,Point,
"(8856, 7081, 391)",,,,,,,Point,
"(8633, 8721, 392)",,,,,,,Point,
"(7381, 7846, 393)",,,,,,,Point,
"(7081, 7565, 394)",,,,,,,Point,
"(8875, 7638, 395)",,,,,,,Point,
"(8610, 6916, 396)",,,,,,,Point,
"(8645, 8695, 397)",,,,,,,Point,
"(9159, 8180, 398)",,,,,,,Point,
"(9559, 7650, 399)",,,,,,,Point,
"(9524, 7319, 400)",,,,,,,Point,
"(8403, 7823, 401)",,,,,,,Point,
"(8810, 7523, 402)",,,,,,,Point,
"(8675, 7116, 403)",,,,,,,Point,
"(8610, 8990, 404)",,,,,,,Point,
"(8914, 8572, 405)",,,,,,,Point,
"(8921, 7869, 406)",,,,,,,Point,
"(9067, 7638, 407)",,,,,,,Point,
"(9017, 6935, 408)",,,,,,,Point,
"(9021, 7558, 409)",,,,,,,Point,
"(9835, 8122, 410)",,,,,,,Point,
"(11875, 10592, 411)",,,,,,,Point,
"(12221, 10861, 412)",,,,,,,Point,
"(12113, 10845, 413)",,,,,,,Point,
"(12109, 10999, 414)",,,,,,,Point,
"(11180, 10081, 415)",,,,,,,Point,
"(10984, 10127, 416)",,,,,,,Point,
"(11076, 10577, 417)",,,,,,,Point,
"(11218, 10000, 418)",,,,,,,Point,
"(11349, 10438, 419)",,,,,,,Point,
"(11137, 10423, 420)",,,,,,,Point,
"(11184, 10884, 421)",,,,,,,Point,
"(11472, 10842, 422)",,,,,,,Point,
"(10600, 11111, 423)",,,,,,,Point,
"(11299, 10419, 424)",,,,,,,Point,
"(9966, 10907, 425)",,,,,,,Point,
"(11003, 9613, 426)",,,,,,,Point,
"(10853, 9666, 427)",,,,,,,Point,
"(10788, 10350, 428)",,,,,,,Point,
"(10953, 10331, 429)",,,,,,,Point,
"(10684, 10911, 430)",,,,,,,Point,
"(10653, 11064, 431)",,,,,,,Point,
"(9340, 10507, 432)",,,,,,,Point,
"(11053, 10438, 433)",,,,,,,Point,
"(11372, 10707, 434)",,,,,,,Point,
"(11568, 11049, 435)",,,,,,,Point,
"(11068, 9878, 436)",,,,,,,Point,
"(10700, 10630, 437)",,,,,,,Point,
"(10930, 10876, 438)",,,,,,,Point,
"(11506, 11118, 439)",,,,,,,Point,
"(11226, 11187, 440)",,,,,,,Point,
"(11487, 12570, 441)",,,,,,,Point,
"(11456, 11049, 442)",,,,,,,Point,
"(10615, 10308, 443)",,,,,,,Point,
"(10945, 10085, 444)",,,,,,,Point,
"(10388, 10769, 445)",,,,,,,Point,
"(10807, 10842, 446)",,,,,,,Point,
"(10300, 10173, 447)",,,,,,,Point,
"(11291, 9589, 448)",,,,,,,Point,
"(11541, 9889, 449)",,,,,,,Point,
"(11406, 10561, 450)",,,,,,,Point,
"(11545, 10880, 451)",,,,,,,Point,
"(9977, 10573, 452)",,,,,,,Point,
"(12067, 11003, 453)",,,,,,,Point,
"(10903, 9747, 454)",,,,,,,Point,
"(11195, 10181, 455)",,,,,,,Point,
"(11253, 10139, 456)",,,,,,,Point,
"(10876, 10185, 457)",,,,,,,Point,
"(11595, 11525, 458)",,,,,,,Point,
"(8913, 7934, 459)",,,,,,,Point,
"(9866, 7473, 460)",,,,,,,Point,
"(9835, 11126, 461)",,,,,,,Point,
"(10189, 10534, 462)",,,,,,,Point,
"(9720, 9171, 463)",,,,,,,Point,
"(9543, 10392, 464)",,,,,,,Point,
"(9716, 10811, 465)",,,,,,,Point,
"(9655, 10753, 466)",,,,,,,Point,
