Coordinate 1,Coordinate 2,Ellipsoid Dimensions,Tags,Description,Segment IDs,Parent ID,Type,ID
"(9622, 6731, 356)",,,,,,,Point,
"(9741, 9682, 357)",,,,,,,Point,
"(10209, 9555, 358)",,,,,,,Point,
"(9673, 9316, 359)",,,,,,,Point,
"(10243, 9061, 360)",,,,,,,Point,
"(9724, 9121, 361)",,,,,,,Point,
"(10090, 8534, 362)",,,,,,,Point,
"(9358, 9163, 363)",,,,,,,Point,
"(12216, 7615, 364)",,,,,,,Point,
"(9903, 9861, 365)",,,,,,,Point,
"(9818, 7972, 366)",,,,,,,Point,
"(9750, 7692, 367)",,,,,,,Point,
"(9639, 7955, 368)",,,,,,,Point,
"(10115, 7411, 369)",,,,,,,Point,
"(10600, 7352, 370)",,,,,,,Point,
"(10056, 7522, 371)",,,,,,,Point,
"(9358, 7394, 372)",,,,,,,Point,
"(9775, 7513, 373)",,,,,,,Point,
"(10098, 7147, 374)",,,,,,,Point,
"(9486, 8687, 375)",,,,,,,Point,
"(10175, 8006, 376)",,,,,,,Point,
"(10192, 7726, 377)",,,,,,,Point,
"(10320, 7573, 378)",,,,,,,Point,
"(10081, 7437, 379)",,,,,,,Point,
"(10107, 7173, 380)",,,,,,,Point,
"(10294, 8117, 381)",,,,,,,Point,
"(10217, 7870, 382)",,,,,,,Point,
"(8737, 7862, 383)",,,,,,,Point,
"(9648, 7207, 384)",,,,,,,Point,
"(9690, 8993, 385)",,,,,,,Point,
"(10192, 8279, 386)",,,,,,,Point,
"(10677, 7581, 387)",,,,,,,Point,
"(10320, 7420, 388)",,,,,,,Point,
"(10362, 8049, 389)",,,,,,,Point,
"(10345, 7590, 390)",,,,,,,Point,
"(9699, 7207, 391)",,,,,,,Point,
"(9477, 8857, 392)",,,,,,,Point,
"(8210, 7904, 393)",,,,,,,Point,
"(7912, 7573, 394)",,,,,,,Point,
"(9716, 7785, 395)",,,,,,,Point,
"(9443, 7190, 396)",,,,,,,Point,
"(9503, 8934, 397)",,,,,,,Point,
"(10005, 8372, 398)",,,,,,,Point,
"(10396, 7836, 399)",,,,,,,Point,
"(10371, 7445, 400)",,,,,,,Point,
"(9290, 7921, 401)",,,,,,,Point,
"(9690, 7590, 402)",,,,,,,Point,
"(9580, 7181, 403)",,,,,,,Point,
"(9494, 9044, 404)",,,,,,,Point,
"(9801, 8585, 405)",,,,,,,Point,
"(9843, 7870, 406)",,,,,,,Point,
"(9988, 7649, 407)",,,,,,,Point,
"(9903, 6884, 408)",,,,,,,Point,
"(9894, 7479, 409)",,,,,,,Point,
"(8993, 8092, 410)",,,,,,,Point,
"(11034, 10584, 411)",,,,,,,Point,
"(11357, 10881, 412)",,,,,,,Point,
"(11272, 10881, 413)",,,,,,,Point,
"(11264, 11069, 414)",,,,,,,Point,
"(10294, 10150, 415)",,,,,,,Point,
"(10124, 10192, 416)",,,,,,,Point,
"(10234, 10660, 417)",,,,,,,Point,
"(10371, 10090, 418)",,,,,,,Point,
"(10549, 10592, 419)",,,,,,,Point,
"(10328, 10592, 420)",,,,,,,Point,
"(10337, 11077, 421)",,,,,,,Point,
"(10617, 11035, 422)",,,,,,,Point,
"(9792, 11332, 423)",,,,,,,Point,
"(10524, 10822, 424)",,,,,,,Point,
"(9256, 11281, 425)",,,,,,,Point,
"(10141, 9512, 426)",,,,,,,Point,
"(9962, 9623, 427)",,,,,,,Point,
"(9920, 10346, 428)",,,,,,,Point,
"(10098, 10320, 429)",,,,,,,Point,
"(9801, 10958, 430)",,,,,,,Point,
"(9809, 11145, 431)",,,,,,,Point,
"(8499, 10618, 432)",,,,,,,Point,
"(10226, 10584, 433)",,,,,,,Point,
"(10515, 10898, 434)",,,,,,,Point,
"(10719, 11298, 435)",,,,,,,Point,
"(10243, 10150, 436)",,,,,,,Point,
"(9869, 10890, 437)",,,,,,,Point,
"(10132, 11205, 438)",,,,,,,Point,
"(10702, 11460, 439)",,,,,,,Point,
"(10447, 11596, 440)",,,,,,,Point,
"(10702, 12991, 441)",,,,,,,Point,
"(10541, 11043, 442)",,,,,,,Point,
"(9716, 10337, 443)",,,,,,,Point,
"(10013, 10133, 444)",,,,,,,Point,
"(9494, 10805, 445)",,,,,,,Point,
"(9937, 10915, 446)",,,,,,,Point,
"(9426, 10261, 447)",,,,,,,Point,
"(10396, 9716, 448)",,,,,,,Point,
"(10643, 10014, 449)",,,,,,,Point,
"(10541, 10686, 450)",,,,,,,Point,
"(10694, 11018, 451)",,,,,,,Point,
"(9112, 10728, 452)",,,,,,,Point,
"(11238, 11205, 453)",,,,,,,Point,
"(10047, 9988, 454)",,,,,,,Point,
"(10413, 10397, 455)",,,,,,,Point,
"(10464, 10397, 456)",,,,,,,Point,
"(10051, 10458, 457)",,,,,,,Point,
"(10859, 11913, 458)",,,,,,,Point,
"(9353, 8621, 459)",,,,,,,Point,
"(10442, 8085, 460)",,,,,,,Point,
"(10425, 11683, 461)",,,,,,,Point,
"(10910, 10952, 462)",,,,,,,Point,
"(10442, 9574, 463)",,,,,,,Point,
"(10306, 10679, 464)",,,,,,,Point,
"(10510, 11062, 465)",,,,,,,Point,
"(10485, 10901, 466)",,,,,,,Point,
"(10323, 10756, 467)",,,,,,,Point,
"(10417, 10850, 468)",,,,,,,Point,
"(10263, 8766, 469)",,,,,,,Point,
"(12118, 10586, 470)",,,,,,,Point,
"(10986, 8970, 471)",,,,,,,Point,
"(11208, 8383, 472)",,,,,,,Point,
"(11497, 8596, 473)",,,,,,,Point,
"(10816, 7847, 474)",,,,,,,Point,
"(10757, 8128, 475)",,,,,,,Point,
"(10944, 8009, 476)",,,,,,,Point,
"(10748, 7498, 477)",,,,,,,Point,
"(11242, 9046, 478)",,,,,,,Point,
"(11114, 10492, 479)",,,,,,,Point,
"(11225, 7600, 480)",,,,,,,Point,
"(11054, 7362, 481)",,,,,,,Point,
"(11471, 6809, 482)",,,,,,,Point,
"(11216, 7626, 483)",,,,,,,Point,
"(11514, 7235, 484)",,,,,,,Point,
"(11123, 8230, 485)",,,,,,,Point,
"(11216, 7413, 486)",,,,,,,Point,
"(11505, 7226, 487)",,,,,,,Point,
"(11267, 7413, 488)",,,,,,,Point,
"(11046, 7524, 489)",,,,,,,Point,
"(10782, 7371, 490)",,,,,,,Point,
"(10782, 7524, 492)",,,,,,,Point,
"(11233, 7413, 491)",,,,,,,Point,
"(10570, 9523, 493)",,,,,,,Point,
"(11369, 9412, 494)",,,,,,,Point,
"(11403, 8111, 495)",,,,,,,Point,
"(10646, 8102, 496)",,,,,,,Point,
"(11152, 8119, 497)",,,,,,,Point,
"(11263, 8638, 498)",,,,,,,Point,
"(11433, 8374, 499)",,,,,,,Point,
"(11331, 8995, 500)",,,,,,,Point,
"(11152, 8119, 501)",,,,,,,Point,
"(11263, 8238, 502)",,,,,,,Point,
"(11169, 8383, 503)",,,,,,,Point,
"(11416, 8145, 504)",,,,,,,Point,
"(11237, 8238, 505)",,,,,,,Point,
"(10940, 8315, 506)",,,,,,,Point,
"(11407, 8170, 507)",,,,,,,Point,
"(11059, 8264, 508)",,,,,,,Point,
"(11731, 10850, 509)",,,,,,,Point,
"(12539, 11190, 510)",,,,,,,Point,
"(10565, 11156, 511)",,,,,,,Point,
"(11101, 10407, 512)",,,,,,,Point,
"(13075, 9744, 513)",,,,,,,Point,
"(10548, 11147, 514)",,,,,,,Point,
"(13143, 10696, 515)",,,,,,,Point,
"(12794, 10501, 516)",,,,,,,Point,
"(10642, 10688, 517)",,,,,,,Point,
"(12513, 10135, 518)",,,,,,,Point,
"(12794, 10050, 519)",,,,,,,Point,
"(13440, 10535, 520)",,,,,,,Point,
"(11433, 10850, 521)",,,,,,,Point,
"(12768, 10373, 522)",,,,,,,Point,
"(13168, 10135, 523)",,,,,,,Point,
"(13270, 10399, 524)",,,,,,,Point,
"(13177, 10093, 525)",,,,,,,Point,
"(12853, 10050, 526)",,,,,,,Point,
"(11271, 10110, 527)",,,,,,,Point,
"(10753, 10688, 528)",,,,,,,Point,
"(12887, 10348, 529)",,,,,,,Point,
"(13134, 10535, 530)",,,,,,,Point,
"(10829, 9667, 531)",,,,,,,Point,
"(12760, 9888, 532)",,,,,,,Point,
"(12675, 10254, 533)",,,,,,,Point,
"(12845, 9735, 534)",,,,,,,Point,
"(12845, 10093, 535)",,,,,,,Point,
"(11042, 9888, 536)",,,,,,,Point,
"(13228, 10314, 537)",,,,,,,Point,
"(12088, 10620, 538)",,,,,,,Point,
"(13381, 9812, 539)",,,,,,,Point,
"(13100, 9795, 540)",,,,,,,Point,
"(10889, 9854, 541)",,,,,,,Point,
"(10378, 10212, 542)",,,,,,,Point,
"(13934, 9905, 543)",,,,,,,Point,
"(11450, 9693, 544)",,,,,,,Point,
"(13398, 9735, 545)",,,,,,,Point,
"(14776, 11819, 546)",,,,,,,Point,
"(12462, 10748, 547)",,,,,,,Point,
"(11339, 10739, 548)",,,,,,,Point,
"(12326, 11088, 549)",,,,,,,Point,
"(9579, 11368, 550)",,,,,,,Point,
"(10846, 10841, 551)",,,,,,,Point,
"(13092, 10714, 552)",,,,,,,Point,
